Artist Link,Artist Name,Stage,Day,Start Time,End Time,Song,Followers,Enjoyment
https://open.spotify.com/artist/3MM8mtgFzaEJsqbjZBSsHJ,Bloc Party,Other Stage,2024-06-29,17:15,17:15,https://open.spotify.com/track/4juzduULFJiZVIcrC1tkxE,1130637,20
https://open.spotify.com/artist/5SHgclK1ZpTdfdAmXW7J6s,The Last Dinner Party,Other Stage,2024-06-29,15:45,15:45,https://open.spotify.com/track/5crY7axm3GejOxy5PsnnPk,404117,29
https://open.spotify.com/artist/687cZJR45JO7jhk1LHIbgq,Tems,Other Stage,2024-06-29,14:15,14:15,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK,1888223,0
https://open.spotify.com/artist/5G49Sq5mMzAkGL4ZP6eVPY,The Staves,Other Stage,2024-06-29,13:00,13:00,https://open.spotify.com/track/14WxdK01IyDl3bumvqufxH,221800,0
https://open.spotify.com/artist/5ugVdZNXtMIj6ECTzGsyqS,JAMIE WEBSTER,Other Stage,2024-06-29,11:45,11:45,https://open.spotify.com/track/0FDZSqUceUEognaSTGY2P6,105772,0
https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB,The National,Other Stage,2024-06-30,21:45,21:45,https://open.spotify.com/track/4tyX1rw9X309WkEdh2As4B,1609854,25
https://open.spotify.com/artist/536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,Other Stage,2024-06-30,19:45,19:45,https://open.spotify.com/track/4JHg4nNYUJQ5HULcCmI18R,2405322,20
https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,Other Stage,2024-06-30,18:00,18:00,https://open.spotify.com/track/5xEM5hIgJ1jjgcEBfpkt2F,10990289,0
https://open.spotify.com/artist/1kDGbuxWknIKx4FlgWxiSp,Nothing But Thieves,Other Stage,2024-06-30,16:30,16:30,https://open.spotify.com/track/7uEvezzgCoYmqRDloOXUSR,1175239,20
https://open.spotify.com/artist/2WoVwexZuODvclzULjPQtm,Sampha,Woodsies Stage,2024-06-28,21:00,21:00,https://open.spotify.com/track/28qA8y1sz0FTuSapsCxNOG,759759,50
https://open.spotify.com/artist/0vn7UBvSQECKJm2817Yf1P,James Taylor,Other Stage,2024-06-30,15:00,15:00,https://open.spotify.com/track/1oht5GevPN9t1T3kG1m1GO,2607249,0
https://open.spotify.com/artist/3xByNj8XW17oW0wsJhgzYL,SOFT PLAY,Other Stage,2024-06-30,13:45,13:45,https://open.spotify.com/track/5h5FY6vmtDpgXF91BUexO0,216728,27
https://open.spotify.com/artist/4wrzxtBZw20ufDstKyTnnP,Rachel Chinouriri,Other Stage,2024-06-30,12:30,12:30,https://open.spotify.com/track/2gWY1fvwvKPQFFoahY4p3v,176609,20
https://open.spotify.com/artist/2qV7axHq9Jk7QqFcB3f05A,The Zutons,Other Stage,2024-06-30,11:15,11:15,https://open.spotify.com/track/2LuJkoxMlLQshNTVa8oCXW,146433,0
https://open.spotify.com/artist/59oA5WbbQvomJz2BuRG071,Jungle,West Holts Stage,2024-06-28,22:15,22:15,https://open.spotify.com/track/19kHhX6f6EfLU7rcO3RqjO,1396275,88
https://open.spotify.com/artist/7sTKZr30LqC928DZ5P9mNQ,Heilung,West Holts Stage,2024-06-28,20:15,20:15,https://open.spotify.com/track/7oGwKNBX90dXL53ZbhPxJk,651114,0
https://open.spotify.com/artist/7aA592KWirLsnfb5ulGWvU,Danny Brown,West Holts Stage,2024-06-28,18:30,18:30,https://open.spotify.com/track/3C1rUtw6tW9dfVPar8CMLf,852868,0
https://open.spotify.com/artist/7rZNSLWMjTbwdLNskFbzFf,Sugababes,West Holts Stage,2024-06-28,16:55,16:55,https://open.spotify.com/track/3EDS89HeAhHiZKlljciK0a,693447,0
https://open.spotify.com/artist/1EpyA68dKpjf7jXmQL88Hy,Noname,West Holts Stage,2024-06-28,15:30,15:30,https://open.spotify.com/track/5rNqaOOSNGrYtMo4sLDXU6,738777,25
https://open.spotify.com/artist/685XjGzGztyivfR3fAjoxo,Squid,West Holts Stage,2024-06-28,14:00,14:00,https://open.spotify.com/track/5mWlyBpAyIpP1lI1AXjln4,143232,41
https://open.spotify.com/artist/6XS2GPyMwHEgAn0VspnhMf,Asha Puthli,West Holts Stage,2024-06-28,12:30,12:30,https://open.spotify.com/track/4jTXmhMv91Fq0ivNQDzhPh,20315,0
https://open.spotify.com/artist/7wXTWO45lqpUejDkike0Gf,Sofia Kourtesis,West Holts Stage,2024-06-28,11:00,11:00,https://open.spotify.com/track/5Qa679CkfZaEEsLGUBfXFp,67307,48
https://open.spotify.com/artist/5Mq7iqCWBzofK39FBqblNc,Jessie Ware,West Holts Stage,2024-06-29,22:15,22:15,https://open.spotify.com/track/7fex2V7RzWl9nCKyILjibB,758246,34
https://open.spotify.com/artist/3ycxRkcZ67ALN3GQJ57Vig,Masego,West Holts Stage,2024-06-29,20:30,20:30,https://open.spotify.com/track/51rPRW8NjxZoWPPjnRGzHw,1391620,27
https://open.spotify.com/artist/6eU0jV2eEZ8XTM7EmlguK6,Black Pumas,West Holts Stage,2024-06-29,19:00,19:00,https://open.spotify.com/track/6J3HNhDBIwEX11bX8hzx5u,1004453,27
https://open.spotify.com/artist/5NCKpzuowtihcIrIHFjKbJ,Nitin Sawhney,West Holts Stage,2024-06-29,17:30,17:30,https://open.spotify.com/track/0TOVfRtYXE7D2CZw0fx9NU,260969,0
